RowNum,DumpTblNm,DumpFldNm,AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
,,,BIOG_SOURCE_DATA,c_textid,Primary Key,Long,False,TEXT_CODES,c_textid
,,,BIOG_TEXT_DATA,c_created_by,,Text,True,,
,,,BIOG_TEXT_DATA,c_created_date,,Date/Time,True,,
,,,BIOG_TEXT_DATA,c_modified_by,,Text,True,,
,,,BIOG_TEXT_DATA,c_modified_date,,Date/Time,True,,
,,,BIOG_TEXT_DATA,c_nh_code,,Integer,True,NIAN_HAO,c_nianhao_code
,,,BIOG_TEXT_DATA,c_nh_year,,Integer,True,,
,,,BIOG_TEXT_DATA,c_notes,,Memo,True,,
,,,BIOG_TEXT_DATA,c_pages,,Text,True,,
70,bare_authors,c_personid,BIOG_TEXT_DATA,c_personid,Primary Key,,False,BIOG_MAIN,c_personid
,,,BIOG_TEXT_DATA,c_range_code,,Integer,True,YEAR_RANGE_CODES,c_range_code
,,,BIOG_TEXT_DATA,c_role_id,Primary Key,Integer,False,TEXT_ROLE_CODES,c_role_id
,,,BIOG_TEXT_DATA,c_source,,Long,True,TEXT_CODES,c_textid
69,bare_authors,著述代碼(c_textid),BIOG_TEXT_DATA,c_textid,Primary Key,,False,TEXT_CODES,c_textid
,,,BIOG_TEXT_DATA,c_year,,Integer,True,,
150,choronym_codes,descchn,CHORONYM_CODES,c_choronym_chn,,Text,False,,
148,choronym_codes,code,CHORONYM_CODES,c_choronym_code,Primary,Integer,False,,
149,choronym_codes,desc,CHORONYM_CODES,c_choronym_desc,,Text,False,,
152,country_codes,code,COUNTRY_CODES,c_country_code,Primary,Integer,False,,
153,country_codes,desc,COUNTRY_CODES,c_country_desc,,Text,False,,
154,country_codes,descchn,COUNTRY_CODES,c_country_desc_chn,,Text,False,,
157,dynasties,dy,DYNASTIES,c_dy,Primary,Integer,False,,
158,dynasties,dynasty,DYNASTIES,c_dynasty,,Text,False,,
159,dynasties,dynastychn,DYNASTIES,c_dynasty_chn,,Text,False,,
161,dynasties,end,DYNASTIES,c_end,,Integer,False,,
162,dynasties,sort,DYNASTIES,c_sort,,Integer,True,,
160,dynasties,start,DYNASTIES,c_start,,Integer,False,,
,,,ENTRY_CODE_TYPE_REL,c_entry_code,Primary Key,Integer,False,ENTRY_CODES,c_entry_code
,,,ENTRY_CODE_TYPE_REL,c_entry_type,Primary Key,Text,False,ENTRY_TYPES,c_entry_type
164,entry_codes,code,ENTRY_CODES,c_entry_code,Primary,Integer,False,,
165,entry_codes,desc,ENTRY_CODES,c_entry_desc,,Text,False,,
166,entry_codes,descchn,ENTRY_CODES,c_entry_desc_chn,,Text,False,,
,,,ENTRY_DATA,c_addr_id,,Long,True,ADDR_CODES,c_addr_id
189,entry_data,入仕年齡(age),ENTRY_DATA,c_age,,Integer,True,,
186,entry_data,社會關係類別(assoc_code),ENTRY_DATA,c_assoc_code,Primary Key,Integer,False,ASSOC_CODES,c_assoc_code
198,entry_data,c_assoc_id,ENTRY_DATA,c_assoc_id,Primary Key,Long,False,BIOG_MAIN,c_personid
,,,ENTRY_DATA,c_attempt_count,,Integer,True,,
,,,ENTRY_DATA,c_created_by,,Text,True,,
,,,ENTRY_DATA,c_created_date,,Date/Time,True,,
181,entry_data,入仕法(entry_code),ENTRY_DATA,c_entry_code,Primary Key,Integer,False,ENTRY_CODES,c_entry_code
,,,ENTRY_DATA,c_entry_dy,,Integer,True,DYNASTIES,c_dy
195,entry_data,c_entry_nh_id,ENTRY_DATA,c_entry_nh_id,,Integer,True,nian_hao,c_nianhao_id
196,entry_data,c_entry_nh_year,ENTRY_DATA,c_entry_nh_year,,Integer,True,,
197,entry_data,c_entry_range,ENTRY_DATA,c_entry_range,,Integer,True,year_range_codes,c_range_code
,,,ENTRY_DATA,c_exam_field,,Text,True,,
184,entry_data,科第名次(exam_rank),ENTRY_DATA,c_exam_rank,,Text,True,,
,,,ENTRY_DATA,c_inst_code,Primary Key,Integer,False,SOCIAL_INSTITUTION_CODES,c_inst_code
,,,ENTRY_DATA,c_inst_name_code,Primary Key,Integer,False,SOCIAL_INSTITUTION_NAME_CODES,c_inst_name_code
185,entry_data,親屬關係類別(kin_code),ENTRY_DATA,c_kin_code,Primary Key,Integer,False,KINSHIP_CODES,c_kincode
187,entry_data,親戚(kin_id),ENTRY_DATA,c_kin_id,Primary Key,Long,False,BIOG_MAIN,
,,,ENTRY_DATA,c_modified_by,,Text,True,,
,,,ENTRY_DATA,c_modified_date,,Date/Time,True,,
194,entry_data,注(notes),ENTRY_DATA,c_notes,,Memo,True,,
193,entry_data,頁碼(pages),ENTRY_DATA,c_pages,,Text,True,,
,,,ENTRY_DATA,c_parental_status_code,,Integer,True,PARENTAL_STATUS_CODES,c_parental_status_code
180,entry_data,person id,ENTRY_DATA,c_personid,Primary Key,Long,False,BIOG_MAIN,c_personid
199,entry_data,c_posting_id,ENTRY_DATA,c_posting_id,,Long,True,POSTING_DATA,c_posting_id
,,,ENTRY_DATA,c_posting_notes,,Text,True,,
183,entry_data,sequence,ENTRY_DATA,c_sequence,Primary Key,Integer,False,,
192,entry_data,出處(source),ENTRY_DATA,c_source,,Long,True,TEXT_CODES,c_textid
188,entry_data,入仕年(year),ENTRY_DATA,c_year,Primary Key,Integer,False,,
,,,ENTRY_TYPES,c_entry_type,Primary Key,Text,False,,
,,,ENTRY_TYPES,c_entry_type_desc,,Text,False,,
