AccessTblNm,AccessFldNm,IndexOnField,DataFormat,NULL_allowed,ForeignKey,ForeignKeyBaseField
BIOG_MAIN,c_index_year_source_id,,Long,True,,
BIOG_MAIN,c_female,,Yes/No,True,,
BIOG_MAIN,c_index_addr_id,,Long,True,,
BIOG_MAIN,c_index_addr_type_code,,Integer,True,,
BIOG_MAIN,c_ethnicity_code,,Integer,True,,
BIOG_MAIN,c_household_status_code,,Integer,True,,
BIOG_MAIN,c_tribe,,Text,True,,
BIOG_MAIN,c_birthyear,,Integer,True,,
BIOG_MAIN,c_by_nh_code,,Integer,True,,
BIOG_MAIN,c_by_nh_year,,Integer,True,,
BIOG_MAIN,c_by_range,,Integer,True,,
BIOG_MAIN,c_deathyear,,Integer,True,,
BIOG_MAIN,c_dy_nh_code,,Integer,True,,
BIOG_MAIN,c_dy_nh_year,,Integer,True,,
BIOG_MAIN,c_dy_range,,Integer,True,,
BIOG_MAIN,c_death_age,,Integer,True,,
BIOG_MAIN,c_death_age_range,,Integer,True,,
BIOG_MAIN,c_fl_earliest_year,,Integer,True,,
BIOG_MAIN,c_fl_ey_nh_code,,Integer,True,,
BIOG_MAIN,c_fl_ey_nh_year,,Integer,True,,
BIOG_MAIN,c_fl_ey_notes,,Memo,True,,
BIOG_MAIN,c_fl_latest_year,,Integer,True,,
BIOG_MAIN,c_fl_ly_nh_code,,Integer,True,,
BIOG_MAIN,c_fl_ly_nh_year,,Integer,True,,
BIOG_MAIN,c_fl_ly_notes,,Memo,True,,
BIOG_MAIN,c_surname,,Text,True,,
BIOG_MAIN,c_surname_chn,,Text,True,,
BIOG_MAIN,c_mingzi,,Text,True,,
BIOG_MAIN,c_mingzi_chn,,Text,True,,
BIOG_MAIN,c_dy,,Integer,True,,
BIOG_MAIN,c_choronym_code,,Integer,True,,
BIOG_MAIN,c_notes,,Memo,True,,
BIOG_MAIN,c_by_intercalary,,Yes/No,True,,
BIOG_MAIN,c_dy_intercalary,,Yes/No,True,,
BIOG_MAIN,c_by_month,,Integer,True,,
BIOG_MAIN,c_dy_month,,Integer,True,,
BIOG_MAIN,c_by_day,,Integer,True,,
BIOG_MAIN,c_dy_day,,Integer,True,,
BIOG_MAIN,c_by_day_gz,,Integer,True,,
BIOG_MAIN,c_dy_day_gz,,Integer,True,,
BIOG_MAIN,c_surname_proper,,Text,True,,
BIOG_MAIN,c_mingzi_proper,,Text,True,,
BIOG_MAIN,c_name_proper,,Text,True,,
BIOG_MAIN,c_surname_rm,,Text,True,,
BIOG_MAIN,c_mingzi_rm,,Text,True,,
BIOG_MAIN,c_name_rm,,Text,True,,
BIOG_MAIN,c_created_by,,Text,True,,
BIOG_MAIN,c_modified_by,,Text,True,,
BIOG_MAIN,c_created_date,,Date/Time,True,,
BIOG_MAIN,c_modified_date,,Date/Time,True,,
BIOG_SOURCE_DATA,c_personid,Primary Key,Long,False,,
BIOG_SOURCE_DATA,c_textid,Primary Key,Long,False,,
BIOG_SOURCE_DATA,c_pages,Primary Key,Text,False,,
BIOG_SOURCE_DATA,c_notes,,Memo,True,,
BIOG_SOURCE_DATA,c_main_source,,Yes/No,True,,
BIOG_SOURCE_DATA,c_self_bio,,Yes/No,True,,
BIOG_SOURCE_DATA,c_created_by,,Text,True,,
BIOG_SOURCE_DATA,c_modified_by,,Text,True,,
BIOG_SOURCE_DATA,c_created_date,,Date/Time,True,,
BIOG_SOURCE_DATA,c_modified_date,,Date/Time,True,,
BIOG_TEXT_DATA,c_textid,Primary Key,Long,False,,
BIOG_TEXT_DATA,c_personid,Primary Key,Long,False,,
BIOG_TEXT_DATA,c_role_id,Primary Key,Integer,False,,
BIOG_TEXT_DATA,c_year,,Integer,True,,
BIOG_TEXT_DATA,c_nh_code,,Integer,True,,
BIOG_TEXT_DATA,c_nh_year,,Long,True,,
BIOG_TEXT_DATA,c_range_code,,Integer,True,,
BIOG_TEXT_DATA,c_source,,Long,True,,
BIOG_TEXT_DATA,c_pages,,Text,True,,
BIOG_TEXT_DATA,c_notes,,Memo,True,,
BIOG_TEXT_DATA,c_created_by,,Text,True,,
BIOG_TEXT_DATA,c_modified_by,,Text,True,,
BIOG_TEXT_DATA,c_created_date,,Date/Time,True,,
BIOG_TEXT_DATA,c_modified_date,,Date/Time,True,,
CHORONYM_CODES,c_choronym_code,Primary Key,Integer,True,,
CHORONYM_CODES,c_choronym_desc,,Text,True,,
CHORONYM_CODES,c_choronym_chn,,Text,True,,
CopyTables,TableName,Primary Key,Text,False,,
CopyTables,NotProcessed,,Yes/No,True,,
CopyTablesDefault,ID,Primary Key,Long,True,,
CopyTablesDefault,TableName,,Text,True,,
COUNTRY_CODES,c_country_code,Primary Key,Integer,True,,
COUNTRY_CODES,c_country_desc,,Text,True,,
COUNTRY_CODES,c_country_desc_chn,,Text,True,,
DYNASTIES,c_dy,Primary Key,Integer,False,,
DYNASTIES,c_dynasty,,Text,True,,
DYNASTIES,c_dynasty_chn,,Text,True,,
DYNASTIES,c_start,,Integer,False,,
DYNASTIES,c_end,,Integer,False,,
DYNASTIES,c_sort,,Integer,True,,
ENTRY_CODE_TYPE_REL,c_entry_code,Primary Key,Integer,True,,
ENTRY_CODE_TYPE_REL,c_entry_type,Primary Key,Text,True,,
ENTRY_CODES,c_entry_code,Primary Key,Integer,False,,
ENTRY_CODES,c_entry_desc,,Text,False,,
ENTRY_CODES,c_entry_desc_chn,,Text,False,,
ENTRY_DATA,c_personid,Primary Key,Long,False,,
ENTRY_DATA,c_entry_code,Primary Key,Integer,False,,
ENTRY_DATA,c_sequence,Primary Key,Integer,False,,
ENTRY_DATA,c_exam_rank,,Text,True,,
ENTRY_DATA,c_kin_code,Primary Key,Integer,False,,
ENTRY_DATA,c_kin_id,Primary Key,Long,False,,
ENTRY_DATA,c_assoc_code,Primary Key,Integer,False,,
ENTRY_DATA,c_assoc_id,Primary Key,Long,False,,
ENTRY_DATA,c_year,Primary Key,Integer,False,,
ENTRY_DATA,c_age,,Integer,True,,
ENTRY_DATA,c_entry_dy,,Integer,True,,
ENTRY_DATA,c_entry_nh_id,,Integer,True,,
ENTRY_DATA,c_entry_nh_year,,Integer,True,,
ENTRY_DATA,c_entry_range,,Integer,True,,
ENTRY_DATA,c_inst_code,Primary Key,Integer,False,,
