AccessTblNm,AccessFldNm,ForeignKey,ForeignKeyBaseField,RelationName
text_codes,c_source,TEXT_CODES,c_textid,TEXT_CODES_SOURCE_TEXT_ID
text_codes,c_text_country,COUNTRY_CODES,c_country_code,TEXT_CODES_COUNTRY_CODE_TEXT
text_codes,c_text_dy,DYNASTIES,c_dy,TEXT_CODES_DYNASTY_TEXT
text_codes,c_text_nh_code,NIAN_HAO,c_nianhao_id,TEXT_CODES_NIAN_HAO_TEXT
text_codes,c_text_range_code,YEAR_RANGE_CODES,c_range_code,TEXT_CODES_YEAR_RANGE_CODE_TEXT
TEXT_INSTANCE_DATA,c_pub_country,COUNTRY_CODES,c_country_code,TEXT_INSTANCE_COUNTRY
TEXT_INSTANCE_DATA,c_pub_dy,DYNASTIES,c_dy,TEXT_INSTANCE_PUB_DYNASTY
TEXT_INSTANCE_DATA,c_pub_nh_code,NIAN_HAO,c_nianhao_id,TEXT_INSTANCE_PUB_NIANHAO
TEXT_INSTANCE_DATA,c_pub_range_code,YEAR_RANGE_CODES,c_range_code,TEXT_INSTANCE_PUB_RANGE
TEXT_INSTANCE_DATA,c_source,TEXT_CODES,c_textid,TEXT_INSTANCE_SOURCE_ID
TEXT_INSTANCE_DATA,c_textid,TEXT_CODES,c_textid,TEXT_INSTANCE_TEXT_ID
